,Event,Description,Team,Lat,Lon
45,Hit,Brayden Schenn hit Charlie Coyle,St. Louis Blues,-35.0,17.0
46,Takeaway,Takeaway by Brad Marchand,Boston Bruins,36.0,11.0
47,Takeaway,Takeaway by Vladimir Tarasenko,St. Louis Blues,31.0,50.0
48,Giveaway,Giveaway by Zdeno Chara,Boston Bruins,-37.0,-73.0
49,Hit,Brad Marchand hit Brayden Schenn,Boston Bruins,39.0,-31.0
50,Giveaway,Giveaway by Brayden Schenn,St. Louis Blues,35.0,-63.0
51,Hit,David Pastrnak hit Colton Parayko,Boston Bruins,24.0,92.0
52,Shot,Oskar Sundqvist Wrist Shot saved by Tuukka Rask,St. Louis Blues,9.0,-52.0
53,Hit,Ivan Barbashev hit Noel Acciari,St. Louis Blues,35.0,-38.0
54,Hit,David Backes hit Jay Bouwmeester,Boston Bruins,-8.0,96.0
55,Takeaway,Takeaway by Sammy Blais,St. Louis Blues,20.0,-17.0
56,Blocked Shot,Marcus Johansson,Boston Bruins,20.0,-49.0
57,Blocked Shot,David Backes,Boston Bruins,8.0,-70.0
58,Hit,Brayden Schenn hit Charlie McAvoy,St. Louis Blues,-37.0,-65.0
59,Shot,Jay Bouwmeester Slap Shot saved by Tuukka Rask,St. Louis Blues,-29.0,-38.0
61,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,-22.0,-69.0
62,Shot,Colton Parayko Slap Shot saved by Tuukka Rask,St. Louis Blues,24.0,-39.0
63,Blocked Shot,Jay Bouwmeester,St. Louis Blues,1.0,64.0
64,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
65,Penalty,David Perron Tripping against Danton Heinen,St. Louis Blues,17.0,-43.0
66,Giveaway,Giveaway by Jay Bouwmeester,St. Louis Blues,-18.0,63.0
67,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,16.0,37.0
68,Shot,Torey Krug Snap Shot saved by Jordan Binnington,Boston Bruins,25.0,-60.0
70,Faceoff,Oskar Sundqvist faceoff won against Patrice Bergeron,St. Louis Blues,22.0,20.0
71,Hit,Ivan Barbashev hit Jake DeBrusk,St. Louis Blues,9.0,98.0
72,Shot,Alex Pietrangelo Wrist Shot saved by Tuukka Rask,St. Louis Blues,10.0,-19.0
73,Takeaway,Takeaway by David Pastrnak,Boston Bruins,-29.0,75.0
74,Hit,Alexander Steen hit Brad Marchand,St. Louis Blues,-37.0,51.0
75,Missed Shot,Marcus Johansson - Goalpost,Boston Bruins,4.0,61.0
76,Shot,Charlie Coyle Wrist Shot saved by Jordan Binnington,Boston Bruins,11.0,63.0
77,Blocked Shot,Carl Gunnarsson,St. Louis Blues,11.0,70.0
79,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,22.0,69.0
80,Takeaway,Takeaway by Sean Kuraly,Boston Bruins,30.0,-43.0
81,Penalty,Robert Thomas Hooking against Patrice Bergeron,St. Louis Blues,-13.0,15.0
83,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
84,Takeaway,Takeaway by Jay Bouwmeester,St. Louis Blues,-34.0,38.0
85,Hit,Ivan Barbashev hit Marcus Johansson,St. Louis Blues,36.0,51.0
86,Shot,Charlie Coyle Deflected saved by Jordan Binnington,Boston Bruins,1.0,79.0
88,Faceoff,Patrice Bergeron faceoff won against Oskar Sundqvist,Boston Bruins,22.0,69.0
89,Giveaway,Giveaway by Patrice Bergeron,Boston Bruins,32.0,75.0
90,Giveaway,Giveaway by Oskar Sundqvist,St. Louis Blues,14.0,46.0
91,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,25.0,45.0
92,Hit,Jaden Schwartz hit Patrice Bergeron,St. Louis Blues,-35.0,-37.0
93,Hit,Joakim Nordstrom hit Vladimir Tarasenko,Boston Bruins,36.0,-35.0
94,Hit,Noel Acciari hit Joel Edmundson,Boston Bruins,28.0,92.0
95,Takeaway,Takeaway by Jaden Schwartz,St. Louis Blues,-32.0,-93.0
96,Blocked Shot,Zdeno Chara,Boston Bruins,10.0,-70.0
101,Faceoff,Noel Acciari faceoff won against Ivan Barbashev,Boston Bruins,0.0,0.0
103,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,22.0,-20.0
104,Giveaway,Giveaway by David Pastrnak,Boston Bruins,-3.0,97.0
105,Goal,"Vladimir Tarasenko (9) Wrist Shot, assists: Brayden Schenn (6)",St. Louis Blues,1.0,64.0
106,Faceoff,David Krejci faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
108,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,22.0,-20.0
109,Hit,Sammy Blais hit Charlie Coyle,St. Louis Blues,-36.0,55.0
110,Goal,"Connor Clifton (2) Wrist Shot, assists: Sean Kuraly (4), Joakim Nordstrom (3)",Boston Bruins,-7.0,-77.0
111,Faceoff,Ivan Barbashev faceoff won against David Krejci,St. Louis Blues,0.0,0.0
112,Hit,Ivan Barbashev hit Connor Clifton,St. Louis Blues,37.0,79.0
113,Missed Shot,Matt Grzelcyk - Wide of Net,Boston Bruins,-25.0,-63.0
114,Missed Shot,Jake DeBrusk - Wide of Net,Boston Bruins,-15.0,-67.0
115,Blocked Shot,Alexander Steen,St. Louis Blues,13.0,-79.0
117,Faceoff,Charlie Coyle faceoff won against Brayden Schenn,Boston Bruins,22.0,-69.0
118,Missed Shot,Charlie Coyle - Wide of Net,Boston Bruins,8.0,-65.0
119,Takeaway,Takeaway by Vladimir Tarasenko,St. Louis Blues,-35.0,-42.0
120,Shot,Marcus Johansson Snap Shot saved by Jordan Binnington,Boston Bruins,-1.0,-61.0
121,Takeaway,Takeaway by Marcus Johansson,Boston Bruins,11.0,26.0
122,Missed Shot,Jay Bouwmeester - Wide of Net,St. Louis Blues,16.0,32.0
123,Blocked Shot,Zdeno Chara,Boston Bruins,8.0,70.0
124,Giveaway,Giveaway by Sean Kuraly,Boston Bruins,33.0,-50.0
125,Shot,Sean Kuraly Wrist Shot saved by Jordan Binnington,Boston Bruins,3.0,-35.0
127,Faceoff,David Krejci faceoff won against Oskar Sundqvist,Boston Bruins,-22.0,-69.0
128,Shot,David Backes Wrist Shot saved by Jordan Binnington,Boston Bruins,32.0,-38.0
129,Penalty,Joel Edmundson Hi-sticking against David Backes,St. Louis Blues,26.0,-52.0
130,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
131,Shot,Patrice Bergeron Deflected saved by Jordan Binnington,Boston Bruins,2.0,-74.0
133,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
134,Missed Shot,Torey Krug - Over Net,Boston Bruins,14.0,-44.0
135,Hit,Robert Bortuzzo hit Brad Marchand,St. Louis Blues,36.0,-79.0
136,Missed Shot,Marcus Johansson - Wide of Net,Boston Bruins,-21.0,-81.0
137,Shot,Brad Marchand Wrist Shot saved by Jordan Binnington,Boston Bruins,-1.0,-53.0
138,Shot,Torey Krug Wrist Shot saved by Jordan Binnington,Boston Bruins,33.0,-65.0
140,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,-22.0,20.0
141,Hit,Zdeno Chara hit Jaden Schwartz,Boston Bruins,-37.0,36.0
142,Blocked Shot,Charlie McAvoy,Boston Bruins,17.0,79.0
143,Shot,Robert Bortuzzo Snap Shot saved by Tuukka Rask,St. Louis Blues,-28.0,59.0
145,Faceoff,Sean Kuraly faceoff won against Brayden Schenn,Boston Bruins,-22.0,69.0
147,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
148,Takeaway,Takeaway by Danton Heinen,Boston Bruins,26.0,-57.0
149,Blocked Shot,Joel Edmundson,St. Louis Blues,15.0,-72.0
150,Giveaway,Giveaway by David Perron,St. Louis Blues,27.0,93.0
151,Hit,David Perron hit Charlie Coyle,St. Louis Blues,34.0,30.0
152,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,36.0,60.0
153,Giveaway,Giveaway by Robert Thomas,St. Louis Blues,13.0,37.0
154,Blocked Shot,Alex Pietrangelo,St. Louis Blues,1.0,-55.0
155,Shot,David Backes Snap Shot saved by Jordan Binnington,Boston Bruins,-12.0,-59.0
157,Faceoff,David Krejci faceoff won against Oskar Sundqvist,Boston Bruins,-22.0,-69.0
158,Shot,David Backes Wrist Shot saved by Jordan Binnington,Boston Bruins,-9.0,-43.0
160,Faceoff,Tyler Bozak faceoff won against David Krejci,St. Louis Blues,-22.0,-69.0
161,Hit,Ivan Barbashev hit Matt Grzelcyk,St. Louis Blues,-36.0,82.0
162,Penalty,Oskar Sundqvist Cross checking against Connor Clifton,St. Louis Blues,38.0,12.0
163,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
164,Shot,Alex Pietrangelo Slap Shot saved by Tuukka Rask,St. Louis Blues,-26.0,42.0
165,Giveaway,Giveaway by Torey Krug,Boston Bruins,11.0,-95.0
166,Shot,David Krejci Deflected saved by Jordan Binnington,Boston Bruins,20.0,-82.0
167,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,1.0,-82.0
168,Goal,"Charlie McAvoy (2) Wrist Shot, assists: none",Boston Bruins,7.0,-60.0
169,Hit,Noel Acciari hit Ryan O'Reilly,Boston Bruins,37.0,-8.0
170,Faceoff,Oskar Sundqvist faceoff won against Noel Acciari,St. Louis Blues,0.0,0.0
171,Missed Shot,Vladimir Tarasenko - Wide of Net,St. Louis Blues,-15.0,82.0
172,Giveaway,Giveaway by Joakim Nordstrom,Boston Bruins,-2.0,34.0
173,Hit,Joakim Nordstrom hit Alex Pietrangelo,Boston Bruins,-36.0,10.0
174,Hit,Joakim Nordstrom hit Ryan O'Reilly,Boston Bruins,33.0,-31.0
175,Shot,Danton Heinen Deflected saved by Jordan Binnington,Boston Bruins,-2.0,-74.0
176,Giveaway,Giveaway by Alexander Steen,St. Louis Blues,10.0,-58.0
177,Blocked Shot,Joel Edmundson,St. Louis Blues,14.0,-73.0
178,Shot,Torey Krug Wrist Shot saved by Jordan Binnington,Boston Bruins,-10.0,-48.0
180,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,22.0,-69.0
181,Hit,Joakim Nordstrom hit Jay Bouwmeester,Boston Bruins,36.0,-90.0
183,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,22.0,-20.0
184,Hit,Noel Acciari hit Brayden Schenn,Boston Bruins,-38.0,14.0
185,Shot,Noel Acciari Wrist Shot saved by Jordan Binnington,Boston Bruins,8.0,-73.0
187,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
188,Shot,Brad Marchand Backhand saved by Jordan Binnington,Boston Bruins,12.0,-74.0
189,Hit,Charlie Coyle hit Alex Pietrangelo,Boston Bruins,-36.0,10.0
190,Hit,Tyler Bozak hit Danton Heinen,St. Louis Blues,-34.0,-79.0
191,Faceoff,Tyler Bozak faceoff won against David Krejci,St. Louis Blues,-22.0,-69.0
193,Hit,David Krejci hit Robert Bortuzzo,Boston Bruins,-9.0,-97.0
194,Blocked Shot,Tyler Bozak,St. Louis Blues,4.0,-61.0
195,Giveaway,Giveaway by David Krejci,Boston Bruins,32.0,-51.0
196,Takeaway,Takeaway by Joakim Nordstrom,Boston Bruins,29.0,38.0
197,Hit,Colton Parayko hit Noel Acciari,St. Louis Blues,-37.0,-53.0
198,Hit,Alexander Steen hit Charlie McAvoy,St. Louis Blues,-35.0,-78.0
199,Shot,Joakim Nordstrom Wrist Shot saved by Jordan Binnington,Boston Bruins,-10.0,-40.0
200,Hit,Noel Acciari hit Alexander Steen,Boston Bruins,-36.0,-57.0
201,Missed Shot,Brad Marchand - Goalpost,Boston Bruins,7.0,-37.0
202,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,-6.0,-83.0
204,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,-22.0,-69.0
205,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,22.0,-69.0
207,Hit,Danton Heinen hit Joel Edmundson,Boston Bruins,-8.0,-94.0
208,Takeaway,Takeaway by Marcus Johansson,Boston Bruins,-18.0,49.0
213,Faceoff,Oskar Sundqvist faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
215,Faceoff,Patrice Bergeron faceoff won against Oskar Sundqvist,Boston Bruins,0.0,0.0
217,Faceoff,Sean Kuraly faceoff won against Brayden Schenn,Boston Bruins,22.0,20.0
218,Shot,Sean Kuraly Snap Shot saved by Jordan Binnington,Boston Bruins,-21.0,69.0
219,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
221,Shot,Brandon Carlo Snap Shot saved by Jordan Binnington,Boston Bruins,-23.0,36.0
222,Takeaway,Takeaway by Brandon Carlo,Boston Bruins,-14.0,30.0
223,Giveaway,Giveaway by David Perron,St. Louis Blues,35.0,66.0
224,Hit,Danton Heinen hit David Perron,Boston Bruins,38.0,55.0
225,Blocked Shot,David Backes,Boston Bruins,-9.0,-57.0
226,Hit,Pat Maroon hit Connor Clifton,St. Louis Blues,-13.0,-94.0
227,Shot,David Krejci Backhand saved by Jordan Binnington,Boston Bruins,2.0,61.0
228,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,-22.0,20.0
231,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,-22.0,69.0
232,Hit,Joel Edmundson hit Sean Kuraly,St. Louis Blues,-32.0,12.0
233,Hit,Sean Kuraly hit Oskar Sundqvist,Boston Bruins,-34.0,-86.0
234,Hit,Noel Acciari hit Robert Bortuzzo,Boston Bruins,36.0,22.0
236,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,20.0
237,Hit,Ryan O'Reilly hit Brandon Carlo,St. Louis Blues,-35.0,-81.0
238,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,-1.0,42.0
240,Faceoff,Charlie Coyle faceoff won against Tyler Bozak,Boston Bruins,22.0,69.0
241,Shot,Pat Maroon Wrist Shot saved by Tuukka Rask,St. Louis Blues,-7.0,-21.0
243,Faceoff,Charlie Coyle faceoff won against Tyler Bozak,Boston Bruins,-22.0,-69.0
244,Takeaway,Takeaway by Pat Maroon,St. Louis Blues,-35.0,-67.0
245,Missed Shot,Pat Maroon - Wide of Net,St. Louis Blues,-13.0,-67.0
246,Takeaway,Takeaway by Connor Clifton,Boston Bruins,-35.0,-23.0
247,Hit,Sean Kuraly hit Carl Gunnarsson,Boston Bruins,25.0,92.0
248,Shot,Zdeno Chara Snap Shot saved by Jordan Binnington,Boston Bruins,30.0,34.0
249,Goal,"Sean Kuraly (3) Wrist Shot, assists: Noel Acciari (2), Zdeno Chara (3)",Boston Bruins,-7.0,82.0
250,Faceoff,Patrice Bergeron faceoff won against Oskar Sundqvist,Boston Bruins,0.0,0.0
251,Faceoff,Patrice Bergeron faceoff won against Oskar Sundqvist,Boston Bruins,22.0,-69.0
253,Giveaway,Giveaway by Oskar Sundqvist,St. Louis Blues,-27.0,-12.0
254,Hit,David Backes hit Carl Gunnarsson,Boston Bruins,-38.0,38.0
255,Penalty,David Krejci Illegal check to head against Sammy Blais,Boston Bruins,-30.0,-28.0
257,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
258,Shot,Brayden Schenn Wrist Shot saved by Tuukka Rask,St. Louis Blues,-13.0,-75.0
259,Missed Shot,David Perron - Wide of Net,St. Louis Blues,16.0,-42.0
260,Hit,David Perron hit Danton Heinen,St. Louis Blues,35.0,-81.0
261,Shot,Brayden Schenn Snap Shot saved by Tuukka Rask,St. Louis Blues,20.0,-46.0
262,Hit,Connor Clifton hit Jaden Schwartz,Boston Bruins,-11.0,-95.0
263,Missed Shot,Charlie McAvoy - Wide of Net,Boston Bruins,-12.0,79.0
264,Shot,Noel Acciari Wrist Shot saved by Jordan Binnington,Boston Bruins,2.0,68.0
265,Hit,Torey Krug hit Robert Thomas,Boston Bruins,34.0,51.0
267,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
268,Hit,Sammy Blais hit Zdeno Chara,St. Louis Blues,-2.0,-94.0
269,Hit,David Pastrnak hit Jay Bouwmeester,Boston Bruins,24.0,96.0
270,Shot,Brad Marchand Wrist Shot saved by Jordan Binnington,Boston Bruins,27.0,37.0
272,Faceoff,David Krejci faceoff won against Tyler Bozak,Boston Bruins,22.0,69.0
273,Shot,Jake DeBrusk Snap Shot saved by Jordan Binnington,Boston Bruins,28.0,82.0
275,Faceoff,Tyler Bozak faceoff won against David Krejci,St. Louis Blues,22.0,69.0
276,Hit,Ivan Barbashev hit Matt Grzelcyk,St. Louis Blues,31.0,-90.0
277,Takeaway,Takeaway by Oskar Sundqvist,St. Louis Blues,0.0,67.0
278,Giveaway,Giveaway by Jaden Schwartz,St. Louis Blues,30.0,-36.0
279,Takeaway,Takeaway by Zdeno Chara,Boston Bruins,31.0,-47.0
280,Hit,Vladimir Tarasenko hit David Pastrnak,St. Louis Blues,13.0,48.0
281,Giveaway,Giveaway by Patrice Bergeron,Boston Bruins,-12.0,94.0
282,Hit,Sammy Blais hit Charlie McAvoy,St. Louis Blues,37.0,-46.0
284,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,22.0,20.0
285,Shot,Torey Krug Slap Shot saved by Jordan Binnington,Boston Bruins,4.0,-7.0
286,Hit,Danton Heinen hit David Perron,Boston Bruins,36.0,37.0
287,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
288,Penalty,Sammy Blais Interference against Charlie Coyle,St. Louis Blues,-4.0,69.0
289,Hit,Robert Bortuzzo hit David Pastrnak,St. Louis Blues,35.0,70.0
290,Missed Shot,Brad Marchand - Wide of Net,Boston Bruins,-19.0,75.0
291,Shot,David Pastrnak Deflected saved by Jordan Binnington,Boston Bruins,-4.0,79.0
292,Giveaway,Giveaway by Patrice Bergeron,Boston Bruins,-21.0,94.0
293,Hit,Robert Bortuzzo hit David Krejci,St. Louis Blues,16.0,96.0
294,Missed Shot,Marcus Johansson - Wide of Net,Boston Bruins,-17.0,76.0
295,Hit,Colton Parayko hit Matt Grzelcyk,St. Louis Blues,37.0,69.0
296,Hit,Noel Acciari hit Vladimir Tarasenko,Boston Bruins,38.0,68.0
297,Blocked Shot,Sean Kuraly,Boston Bruins,-8.0,-61.0
299,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,-22.0,-69.0
300,Shot,Jaden Schwartz Slap Shot saved by Tuukka Rask,St. Louis Blues,8.0,-42.0
301,Hit,Jaden Schwartz hit Joakim Nordstrom,St. Louis Blues,-36.0,-79.0
302,Shot,Vladimir Tarasenko Backhand saved by Tuukka Rask,St. Louis Blues,16.0,-78.0
303,Shot,Alex Pietrangelo Snap Shot saved by Tuukka Rask,St. Louis Blues,-1.0,-36.0
304,Missed Shot,Jay Bouwmeester - Wide of Net,St. Louis Blues,8.0,-32.0
306,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,-69.0
307,Goal,"Brad Marchand (8) Wrist Shot, assists: none",Boston Bruins,35.0,42.0
308,Faceoff,Sean Kuraly faceoff won against Tyler Bozak,Boston Bruins,0.0,0.0
309,Missed Shot,Alexander Steen - Over Net,St. Louis Blues,-1.0,-82.0
310,Blocked Shot,Charlie McAvoy,Boston Bruins,7.0,-71.0
311,Hit,Brandon Carlo hit Vladimir Tarasenko,Boston Bruins,-29.0,-70.0
312,Blocked Shot,Patrice Bergeron,Boston Bruins,9.0,-58.0
313,Missed Shot,Brad Marchand - Wide of Net,Boston Bruins,28.0,52.0
314,Shot,Ryan O'Reilly Wrist Shot saved by Tuukka Rask,St. Louis Blues,29.0,-63.0
316,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,22.0,-69.0
317,Shot,Brayden Schenn Backhand saved by Tuukka Rask,St. Louis Blues,3.0,-81.0
318,Blocked Shot,Joakim Nordstrom,Boston Bruins,11.0,-69.0
319,Shot,Brayden Schenn Deflected saved by Tuukka Rask,St. Louis Blues,2.0,-79.0
,Event,Description,Team,Lat,Lon
3,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
5,Faceoff,Brad Marchand faceoff won against Brayden Schenn,Boston Bruins,-22.0,20.0
6,Blocked Shot,Charlie McAvoy,Boston Bruins,-22.0,-63.0
7,Giveaway,Giveaway by Zdeno Chara,Boston Bruins,34.0,-61.0
8,Missed Shot,Vladimir Tarasenko - Wide of Net,St. Louis Blues,31.0,-36.0
9,Hit,Noel Acciari hit Jay Bouwmeester,Boston Bruins,-33.0,70.0
10,Hit,Sammy Blais hit Brandon Carlo,St. Louis Blues,39.0,-80.0
12,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,22.0,-69.0
13,Blocked Shot,Torey Krug,Boston Bruins,11.0,-72.0
14,Hit,David Perron hit Noel Acciari,St. Louis Blues,35.0,19.0
15,Takeaway,Takeaway by Ivan Barbashev,St. Louis Blues,-7.0,-94.0
16,Shot,Pat Maroon Wrist Shot saved by Tuukka Rask,St. Louis Blues,6.0,-58.0
18,Faceoff,Charlie Coyle faceoff won against Robby Fabbri,Boston Bruins,-22.0,-69.0
19,Hit,Tyler Bozak hit Brandon Carlo,St. Louis Blues,-35.0,-52.0
20,Shot,Tyler Bozak Wrist Shot saved by Tuukka Rask,St. Louis Blues,28.0,-2.0
21,Giveaway,Giveaway by Brayden Schenn,St. Louis Blues,-3.0,93.0
22,Hit,Brayden Schenn hit David Pastrnak,St. Louis Blues,-8.0,96.0
23,Hit,Vladimir Tarasenko hit Patrice Bergeron,St. Louis Blues,38.0,49.0
24,Hit,Patrice Bergeron hit Colton Parayko,Boston Bruins,35.0,62.0
25,Hit,David Pastrnak hit Colton Parayko,Boston Bruins,-38.0,9.0
26,Penalty,Sammy Blais Interference - Goalkeeper against Tuukka Rask,St. Louis Blues,4.0,-80.0
27,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
28,Blocked Shot,Ivan Barbashev,St. Louis Blues,14.0,64.0
29,Goal,"Charlie Coyle (7) Wrist Shot, assists: Jake DeBrusk (5), David Pastrnak (9)",Boston Bruins,-2.0,64.0
30,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,0.0,0.0
31,Takeaway,Takeaway by Zdeno Chara,Boston Bruins,31.0,35.0
32,Shot,Joakim Nordstrom Wrist Shot saved by Jordan Binnington,Boston Bruins,4.0,70.0
33,Blocked Shot,Charlie McAvoy,Boston Bruins,-10.0,-69.0
34,Shot,Pat Maroon Backhand saved by Tuukka Rask,St. Louis Blues,18.0,-84.0
35,Giveaway,Giveaway by Robert Bortuzzo,St. Louis Blues,30.0,-31.0
36,Missed Shot,Marcus Johansson - Wide of Net,Boston Bruins,-23.0,48.0
38,Faceoff,Ivan Barbashev faceoff won against David Krejci,St. Louis Blues,-22.0,-20.0
39,Hit,Oskar Sundqvist hit Connor Clifton,St. Louis Blues,-29.0,-87.0
40,Hit,David Backes hit Ivan Barbashev,Boston Bruins,37.0,77.0
41,Takeaway,Takeaway by Jake DeBrusk,Boston Bruins,40.0,-33.0
42,Hit,Oskar Sundqvist hit Jake DeBrusk,St. Louis Blues,35.0,-80.0
43,Shot,David Krejci Wrist Shot saved by Jordan Binnington,Boston Bruins,33.0,57.0
45,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
46,Shot,Jay Bouwmeester Wrist Shot saved by Tuukka Rask,St. Louis Blues,-18.0,40.0
47,Hit,David Pastrnak hit Jaden Schwartz,Boston Bruins,-36.0,-29.0
48,Hit,Brayden Schenn hit Brad Marchand,St. Louis Blues,38.0,-11.0
49,Shot,Brayden Schenn Snap Shot saved by Tuukka Rask,St. Louis Blues,-9.0,-72.0
50,Missed Shot,Brayden Schenn - Over Net,St. Louis Blues,-10.0,-75.0
